City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,yanggu,36.1106,115.7753,16.04,89,91,4.09,CN,1712857188
165,harper,4.375,-7.7169,27.81,82,100,3.52,LR,1712857189
166,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,3.9,RU,1712857189
167,dongargarh,21.2,80.7333,27.78,45,70,1.63,IN,1712857190
168,lockwood,45.8191,-108.4149,11.22,44,20,2.06,US,1712857191
169,margaret river,-33.95,115.0667,14.4,72,5,5.88,AU,1712857192
170,stanley,54.868,-1.6985,14.77,78,20,6.17,GB,1712857192
171,vadso,70.0744,29.7487,2.09,80,40,3.6,NO,1712857193
172,george town,5.4112,100.3354,29.41,81,20,1.03,MY,1712856937
173,kinna,57.5073,12.6946,12.08,90,88,5.89,SE,1712857194
174,hasaki,35.7333,140.8333,14.05,73,100,4.46,JP,1712857195
175,berezovyy,51.6667,135.7,0.88,65,0,2.22,RU,1712857196
176,vinh yen,21.31,105.5967,24.97,96,100,2.97,VN,1712857197
177,tolanaro,-25.0319,46.9987,24.04,83,40,3.09,MG,1712857197
178,zaoyang,32.1272,112.7542,13.94,93,10,1.87,CN,1712857198
179,launceston,-41.45,147.1667,8.42,93,40,2.06,AU,1712857199
180,nagqu,31.5,92.0,-1.76,50,100,4.74,CN,1712857199
181,santa ana de yacuma,-13.75,-65.4333,32.97,62,40,6.17,BO,1712857200
182,mount gambier,-37.8333,140.7667,12.97,60,95,1.59,AU,1712857201
183,west island,-12.1568,96.8225,26.99,78,40,3.09,CC,1712857201
184,greymouth,-42.4667,171.2,15.0,95,83,2.67,NZ,1712857202
185,constantia,44.1833,28.65,16.5,70,1,1.13,RO,1712856938
186,richfield,44.8833,-93.283,15.14,54,75,7.72,US,1712857003
187,kongsberg,59.6652,9.6465,15.06,86,10,2.41,NO,1712857205
188,nantucket,41.2835,-70.0995,10.08,99,100,4.63,US,1712857098
189,sinan,34.8262,126.1086,12.06,95,100,3.71,KR,1712857207
190,plastun,44.7561,136.2939,5.59,85,77,0.7,RU,1712857207
191,amos,48.5669,-78.1162,12.72,59,100,2.75,CA,1712856913
192,auki,-8.7676,160.7034,24.47,87,99,1.47,SB,1712857209
193,beyneu,45.3167,55.2,12.51,59,1,7.5,KZ,1712857209
194,crane,31.3974,-102.3501,22.9,18,0,4.37,US,1712857210
195,tamandare,-8.7597,-35.1047,29.32,70,88,3.87,BR,1712857142
196,peskovka,59.0448,52.3606,8.21,84,96,4.42,RU,1712857212
197,luanda,-8.8368,13.2343,28.0,81,40,5.14,AO,1712856847
198,sept-iles,50.2001,-66.3821,2.25,84,100,6.69,CA,1712856936
199,ghadamis,30.1337,9.5007,22.6,31,8,12.89,LY,1712857214
200,gaalkacyo,6.7697,47.4308,28.35,63,30,9.79,SO,1712857215
201,kupang,-10.1667,123.5833,26.32,94,100,2.57,ID,1712857216
202,moncton,46.1159,-64.8019,7.68,76,100,4.63,CA,1712857068
203,margate,51.3813,1.3862,16.04,79,100,3.58,GB,1712857206
204,mocajuba,-2.5842,-49.5072,29.54,66,96,1.67,BR,1712857218
205,kani keli,-12.9536,45.1033,28.59,72,100,2.45,YT,1712857219
206,cabo san lucas,22.8909,-109.9124,28.61,40,20,2.06,MX,1712857137
207,thompson,55.7435,-97.8558,2.09,69,75,4.63,CA,1712857221
208,ovalle,-30.5983,-71.2003,24.54,39,1,2.77,CL,1712857221
